review_id,topic,date
b754bdd2-ea58-4671-b6b8-2069fc665086,Delivery issue,2025-12-24
50d5c758-cfd5-426c-91a4-a21221e318cd,Refund issue,2025-12-24
0baab1eb-89bd-41b1-a08f-2a8f56034f61,Delivery issue,2025-12-24
dc7f7681-bd0c-4d01-9c62-d4b7355917b2,Delivery issue,2025-12-24
9ab372b1-f1c6-41fe-b395-c5fad2dfad18,Instamart issue,2025-12-24
9ab372b1-f1c6-41fe-b395-c5fad2dfad18,Delivery delayed,2025-12-24
898b5014-b981-4329-b4f6-2ec98831e695,Delivery issue,2025-12-24
e3d8f16c-e780-4942-ab3c-55fffcd84a4b,Food cold,2025-12-24
e3d8f16c-e780-4942-ab3c-55fffcd84a4b,Delivery issue,2025-12-24
e3d8f16c-e780-4942-ab3c-55fffcd84a4b,Delivery delayed,2025-12-24
1d8dbdd5-a050-4370-9d7d-b38ec51d40f6,Delivery issue,2025-12-24
b28bc7a3-c75d-4c09-87f0-e10fd4f8ef3b,Payment issue,2025-12-24
b28bc7a3-c75d-4c09-87f0-e10fd4f8ef3b,Delivery issue,2025-12-24
b28bc7a3-c75d-4c09-87f0-e10fd4f8ef3b,App crash,2025-12-24
6087a992-1b8c-49e8-8ea9-b471d18a2f91,Delivery issue,2025-12-24
84d6086d-00ac-48df-80c0-87e1d5e64010,Delivery delayed,2025-12-24
c9cee9c2-3b41-426c-b3cf-39340ac9c775,Instamart issue,2025-12-24
c9cee9c2-3b41-426c-b3cf-39340ac9c775,Refund issue,2025-12-24
96944e39-2063-4637-9b64-67e56c926c15,Instamart issue,2025-12-24
3ae12265-8766-474f-8f7b-0d5d05b8c7b4,Delivery issue,2025-12-24
818324ad-d899-4ae2-b432-9c64fad6f8b6,10 minute delivery request,2025-12-24
818324ad-d899-4ae2-b432-9c64fad6f8b6,Delivery issue,2025-12-24
2089b3c0-a0b3-4544-8bf9-110500d14657,Delivery delayed,2025-12-24
23856af6-eec6-4b80-97da-aa3d29ba5d70,App bug,2025-12-24
a828a1e5-b033-4190-b525-59a2b58990b1,Instamart issue,2025-12-24
fec34fe3-bf0f-48e9-a1a0-180faa2f2faa,Delivery delayed,2025-12-24
0454e562-76da-4b54-b073-1ad82e8e188c,Customer support issue,2025-12-24
cad1428a-ec43-4706-a0fb-870c4158d1c6,Pricing issue,2025-12-24
0ad5c930-3330-4c54-b194-1648ed90a3eb,Refund issue,2025-12-24
0ad5c930-3330-4c54-b194-1648ed90a3eb,Food stale,2025-12-24
9aea3281-0113-45a6-8fc3-a9aee786941e,Customer support issue,2025-12-24
29c27e50-72b1-4b9a-a978-cbc58cb8154b,Delivery issue,2025-12-24
63f0f7bd-624c-4e1c-bb45-2be8a39c6b66,Delivery issue,2025-12-24
b01f46ba-5e16-4455-abc4-d5f0dc8e144f,Delivery issue,2025-12-24
dcfaadcc-44db-40d4-846a-6e9b69424cbf,Customer support issue,2025-12-24
c9a1c708-d18b-4e40-b68f-323ebbc27673,Refund issue,2025-12-24
c25e58ce-a0fe-4d65-9054-b95a9a14fc04,Customer support issue,2025-12-24
ecbac61b-1fde-4374-be3a-bb429fd09882,10 minute delivery request,2025-12-24
ecbac61b-1fde-4374-be3a-bb429fd09882,Delivery issue,2025-12-24
9bc35d1e-e25a-4b13-abfc-bbecb89d0d01,Delivery issue,2025-12-24
e7e20372-deed-4aff-8556-1084cb1ff488,Delivery issue,2025-12-24
e7e20372-deed-4aff-8556-1084cb1ff488,Delivery delayed,2025-12-24
378d7c78-5a96-4067-af30-d1328ca40532,Delivery issue,2025-12-24
378d7c78-5a96-4067-af30-d1328ca40532,Customer support issue,2025-12-24
378d7c78-5a96-4067-af30-d1328ca40532,Delivery delayed,2025-12-24
040cd955-3ca0-49ba-842e-46cbccd278e2,Delivery issue,2025-12-24
727b4c65-228f-4bbd-a267-04ea4a2a478a,Customer support issue,2025-12-24
e9b1e316-ec6a-4e60-ab93-f415c7ea0dce,Delivery issue,2025-12-24
e9b1e316-ec6a-4e60-ab93-f415c7ea0dce,Customer support issue,2025-12-24
41f1d0db-7120-48d5-ad63-74763c05b563,Pricing issue,2025-12-24
85442662-730e-427a-9848-df3cc75d33ed,Payment issue,2025-12-24
25432c31-5aca-4c6a-a50b-4fa77daf31b1,Instamart issue,2025-12-24
25432c31-5aca-4c6a-a50b-4fa77daf31b1,Delivery issue,2025-12-24
5549ebfa-1611-4c84-848f-92714078e58e,Delivery partner rude,2025-12-24
5549ebfa-1611-4c84-848f-92714078e58e,Delivery issue,2025-12-24
f11813e6-af0c-4c7f-8057-56e3e0344751,Maps not working properly,2025-12-24
f11813e6-af0c-4c7f-8057-56e3e0344751,Delivery issue,2025-12-24
ea5023aa-2ce8-4c49-93b7-1c2c8ea0e442,10 minute delivery request,2025-12-24
ea5023aa-2ce8-4c49-93b7-1c2c8ea0e442,Delivery issue,2025-12-24
6ac04d95-e451-4e00-b663-57b1c248a771,Customer support issue,2025-12-24
2cee9707-9adb-4041-99e9-15143c5191f3,Refund issue,2025-12-24
3bb12cfc-b4d9-4695-a824-5bb615840fc8,Delivery issue,2025-12-24
12ed2ffe-8c62-4589-9ec6-7f715e22716a,Refund issue,2025-12-24
c1560e32-22a7-4ef1-84fb-8fa406ab6ccc,Payment issue,2025-12-24
9807550a-8fe4-476b-82e8-9b559ca5d933,Delivery issue,2025-12-24
9807550a-8fe4-476b-82e8-9b559ca5d933,Refund issue,2025-12-24
9807550a-8fe4-476b-82e8-9b559ca5d933,Delivery delayed,2025-12-24
20198a56-2e4d-4e00-a12e-dfdd5bd59ee0,Food cold,2025-12-24
35848f55-8fb3-44c5-9abc-928bd8d8faff,Refund issue,2025-12-24
c8645123-48ca-4db9-b769-b609be5b28b9,Refund issue,2025-12-24
88ce04c6-8a41-4034-9778-36025b5e19f9,10 minute delivery request,2025-12-24
88ce04c6-8a41-4034-9778-36025b5e19f9,Delivery issue,2025-12-24
70231009-8b6a-4d7d-8a8d-f1345944985a,Pricing issue,2025-12-24
71d671b7-0be8-410e-9606-50bea3e4e8c9,Delivery issue,2025-12-24
71d671b7-0be8-410e-9606-50bea3e4e8c9,Delivery delayed,2025-12-24
3ec82585-a5a1-45c6-8644-50e5e9172d4d,Delivery issue,2025-12-24
3ec82585-a5a1-45c6-8644-50e5e9172d4d,Refund issue,2025-12-24
fdbfe9df-39b3-407d-a589-22824c8fa44f,Delivery delayed,2025-12-24
f869c4f3-8a37-41ec-b493-36dbdc9c8018,Delivery issue,2025-12-24
d105ad62-ec1f-44cd-8acb-2afd27817dde,10 minute delivery request,2025-12-24
d105ad62-ec1f-44cd-8acb-2afd27817dde,Delivery issue,2025-12-24
83c74eb3-6497-41ec-ad72-a73ab8180a7e,Delivery issue,2025-12-24
83c74eb3-6497-41ec-ad72-a73ab8180a7e,Customer support issue,2025-12-24
8f580a1c-988d-4402-b9de-45f8ce30ca56,Maps not working properly,2025-12-24
c0ce0cff-57fd-4e20-9302-9f21d9573c64,Refund issue,2025-12-24
a6fec131-173c-4cbd-8734-a94ee38514c6,Pricing issue,2025-12-24
c8f1f85f-e85e-4a8c-8bac-58b20ffa9a5f,Delivery issue,2025-12-24
2595ae4a-dafc-40e3-a7e2-f1bbf6dbc2e1,Customer support issue,2025-12-24
dd19f948-de15-45e1-8df6-31e967fcff67,Payment issue,2025-12-24
816aafda-c756-49f5-9ab3-82f157391cbc,Customer support issue,2025-12-24
816aafda-c756-49f5-9ab3-82f157391cbc,Delivery delayed,2025-12-24
ada7d9b5-2ed4-426f-a749-ecec13423d16,Customer support issue,2025-12-24
ada7d9b5-2ed4-426f-a749-ecec13423d16,Refund issue,2025-12-24
d22c09ba-6005-4c98-9eb3-f6d04392f3b8,Delivery issue,2025-12-24
dae5092b-031d-479c-8fb1-656253ad01bd,Delivery issue,2025-12-24
dae5092b-031d-479c-8fb1-656253ad01bd,Customer support issue,2025-12-24
dae5092b-031d-479c-8fb1-656253ad01bd,Delivery delayed,2025-12-24
012c0778-b435-4b53-a7ca-0ed6e91d15f8,Delivery issue,2025-12-24
c35c5778-d75f-4861-a980-e7d9fcf2e567,Customer support issue,2025-12-24
4b2db371-c86b-4181-8110-439142245000,Pricing issue,2025-12-24
d384a79c-29d0-4813-8da5-5f76e34850d4,Pricing issue,2025-12-24
96fa3178-9c24-4427-9f51-ad91453382c5,Delivery issue,2025-12-24
7c71051d-904b-4627-b187-988a31b8d5cd,Delivery issue,2025-12-24
8d5b6bf1-1e96-4284-8acf-b6b9ffda8522,Instamart issue,2025-12-24
8d5b6bf1-1e96-4284-8acf-b6b9ffda8522,Delivery issue,2025-12-24
8d5b6bf1-1e96-4284-8acf-b6b9ffda8522,Delivery delayed,2025-12-24
7a27b777-874b-473b-80ff-13b28ac1e01b,Delivery issue,2025-12-24
7a27b777-874b-473b-80ff-13b28ac1e01b,Pricing issue,2025-12-24
283f6290-aa6e-4564-946e-662027a06eaa,Pricing issue,2025-12-24
e1784d4f-7902-4e92-a66d-2a39dc25a357,Customer support issue,2025-12-24
6c118468-0cb9-480b-8ab0-a63c75e50d2c,Delivery issue,2025-12-24
1496bd53-58fb-4247-b7c1-5dd04780a99a,Customer support issue,2025-12-24
e534c1ca-52f0-45a1-b108-e932d5700bc8,Delivery issue,2025-12-24
e534c1ca-52f0-45a1-b108-e932d5700bc8,Customer support issue,2025-12-24
ca64864e-5132-451e-887c-15e9117f792e,Delivery issue,2025-12-24
